state,crop,profit,,
Delhi,Jute,-1,,
Delhi,Mesta,-1,,
Delhi,Sugarcane,-1,,
Lakshadweep,Rice,-1,,
Lakshadweep,Jowar,-1,,
Lakshadweep,Bajra,-1,,
Lakshadweep,Maize,-1,,
Lakshadweep,Ragi,-1,,
Lakshadweep,Wheat,-1,,
Lakshadweep,Barley,-1,,
Lakshadweep,Gram,-1,,
Lakshadweep,Tur,-1,,
Lakshadweep,Groundnut,-1,,
Lakshadweep,Mustard,-1,,
Lakshadweep,Soyabean,-1,,
Lakshadweep,Sunflower,-1,,
Lakshadweep,Cotton,-1,,
Lakshadweep,Jute,-1,,
Lakshadweep,Mesta,-1,,
Lakshadweep,Sugarcane,-1,,
Puducherry,Rice,27390,,
Puducherry,Jowar,-1,,
Puducherry,Bajra,9000,,
Puducherry,Maize,-1,,
Puducherry,Ragi,-1,,
Puducherry,Wheat,-1,,
Puducherry,Barley,-1,,
Puducherry,Gram,-1,,
Puducherry,Tur,-1,,
Puducherry,Groundnut,15870.5,,
Puducherry,Mustard,-1,,
Puducherry,Soyabean,-1,,
Puducherry,Sunflower,-1,,
Puducherry,Cotton,76930.75,,
Puducherry,Jute,-1,,
Puducherry,Mesta,-1,,
Puducherry,Sugarcane,1004630,,
